Id,Status,Person > Department > Type,Person > Brand,Location,Project,Bid Link,Task,Type,Department,Step,Date,Logged Hours,Start Time,Stop Time,Pay Period
4789759,sub,COGS,Folks,BO,NooUP,NOO710,CMP - Compositing (Shot),Worktime,Compositor,CMP - Compositing (Shot),5/25/24,4.75,5/25/24 10:00,5/25/24 14:45,BO - PayPeriod 10 - 05/16/2024
4789765,sub,COGS,Folks,BO,Misc,,,Meal Break,Compositor,,5/25/24,1,5/25/24 14:45,5/25/24 15:45,BO - PayPeriod 10 - 05/16/2024
4789766,sub,COGS,Folks,BO,NooUP,NOO710,CMP - Compositing (Shot),Worktime,Compositor,CMP - Compositing (Shot),5/25/24,5.25,5/25/24 15:45,5/25/24 21:00,BO - PayPeriod 10 - 05/16/2024
4791308,sub,non-artist COGS,Folks,BO,Verne,JV205,Comp,Worktime,VFX Supervision,CMP - Compositing (Shot),5/25/24,7,5/25/24 13:15,5/25/24 20:15,BO - PayPeriod 10 - 05/16/2024
4794348,sub,non-artist COGS,Fuse,NY,ACompleteUnknown,ACU100,Supervisor,Worktime,VFX Supervision,SUP - Supervisor (Episode),5/25/24,7,5/25/24 0:00,5/25/24 7:00,NY - PayPeriod 12 - 05/20/2024
4797274,sub,SG&A,Fuse,LA,NooUP,NOO710,Coordinator,Worktime,Executive,COR - Coordinator  (Episode),5/25/24,3.5,5/25/24 12:15,5/25/24 15:45,LA - PayPeriod 12 - 05/20/2024
4797278,sub,SG&A,Fuse,LA,NooUP,NOO710,Coordinator,Worktime,Executive,COR - Coordinator  (Episode),5/25/24,2.25,5/25/24 18:30,5/25/24 20:45,LA - PayPeriod 12 - 05/20/2024
4797337,sub,SG&A,Fuse,LA,FuseFX Admin,,,Meal Break,Executive,,5/25/24,2.75,5/25/24 15:45,5/25/24 18:30,LA - PayPeriod 12 - 05/20/2024
4798230,sub,non-artist COGS,Fuse,LA,NooUP,NOO710,,Meeting,Composite Supervision,,5/25/24,3.75,5/25/24 13:45,5/25/24 17:30,LA - PayPeriod 12 - 05/20/2024
4798231,sub,non-artist COGS,Fuse,LA,NooUP,NOO710,,Meeting,Composite Supervision,,5/25/24,1.5,5/25/24 19:00,5/25/24 20:30,LA - PayPeriod 12 - 05/20/2024
