Id,Status,Person > Department > Type,Person > Brand,Location,Project,Bid Link,Task,Type,Department,Step,Date,Logged Hours,Start Time,Stop Time,Pay Period
4695187,sub,COGS,Folks,SG,Casper,CA310,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/12/2024,3,04/12/2024 14:00,04/12/2024 17:00,SG - PayPeriod 9 - 04/07/2024
4695188,sub,COGS,Folks,MT,Casper,CA310,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/12/2024,3,04/12/2024 14:00,04/12/2024 17:00,MT - PayPeriod 9 - 04/07/2024
4695205,sub,COGS,Folks,BO,Verne,JV204,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/12/2024,2.5,04/12/2024 15:00,04/12/2024 17:30,BO - PayPeriod 7 - 04/01/2024
4695226,sub,COGS,Folks,TO,Trap,TRAP100,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/12/2024,1.5,04/12/2024 16:30,04/12/2024 18:00,TO - PayPeriod 9 - 04/07/2024
4695297,sub,COGS,Folks,MT,Casper,CA310,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/12/2024,1,04/12/2024 17:00,04/12/2024 18:00,MT - PayPeriod 9 - 04/07/2024
4695359,sub,COGS,Folks,MT,Casper,CA310,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/12/2024,6,04/12/2024 11:00,04/12/2024 17:00,MT - PayPeriod 9 - 04/07/2024
4695373,sub,COGS,Folks,BO,ForeverAlone,CAD103,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/12/2024,1.25,04/12/2024 15:00,04/12/2024 16:15,BO - PayPeriod 7 - 04/01/2024
4695459,sub,COGS,Folks,BO,Verne,JV204,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/12/2024,2,04/12/2024 15:00,04/12/2024 17:00,BO - PayPeriod 7 - 04/01/2024
4695462,sub,COGS,Folks,TO,OutTheKitchen,OTK104,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/12/2024,4.75,04/12/2024 10:00,04/12/2024 14:45,TO - PayPeriod 9 - 04/07/2024
4695464,sub,COGS,Folks,TO,OutTheKitchen,OTK104,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/12/2024,1.75,04/12/2024 14:45,04/12/2024 16:30,TO - PayPeriod 9 - 04/07/2024
4695466,sub,COGS,Folks,BO,Verne,JV204,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/12/2024,2,04/12/2024 10:00,04/12/2024 12:00,BO - PayPeriod 7 - 04/01/2024
4695467,sub,COGS,Folks,BO,ForeverAlone,CAD104,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/12/2024,1,04/12/2024 18:00,04/12/2024 19:00,BO - PayPeriod 7 - 04/01/2024
4695471,sub,COGS,Folks,BO,Verne,JV204,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/12/2024,1.233333,04/12/2024 12:46,04/12/2024 14:00,BO - PayPeriod 7 - 04/01/2024
4695472,sub,COGS,Folks,TO,OutTheKitchen,OTK104,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/09/2024,4.5,04/09/2024 13:45,04/09/2024 18:15,TO - PayPeriod 9 - 04/07/2024
4695481,sub,COGS,Folks,BO,Verne,JV204,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/12/2024,1,04/12/2024 17:00,04/12/2024 18:00,BO - PayPeriod 7 - 04/01/2024
4695489,sub,COGS,Folks,TO,OutTheKitchen,OTK104,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/10/2024,1.75,04/10/2024 11:15,04/10/2024 13:00,TO - PayPeriod 9 - 04/07/2024
4695491,sub,COGS,Folks,TO,OutTheKitchen,OTK104,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/10/2024,1.75,04/10/2024 13:00,04/10/2024 14:45,TO - PayPeriod 9 - 04/07/2024
4695492,sub,COGS,Folks,TO,OutTheKitchen,OTK104,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/12/2024,1.5,04/12/2024 16:30,04/12/2024 18:00,TO - PayPeriod 9 - 04/07/2024
4695506,sub,COGS,Folks,TO,OutTheKitchen,OTK104,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/12/2024,5,04/12/2024 09:00,04/12/2024 14:00,TO - PayPeriod 9 - 04/07/2024
4695531,sub,COGS,Folks,BO,Verne,JV204,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/12/2024,1.5,04/12/2024 12:30,04/12/2024 14:00,BO - PayPeriod 7 - 04/01/2024
4695541,sub,COGS,Folks,MT,Casper,CA310,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/12/2024,1.8,04/12/2024 09:00,04/12/2024 10:48,MT - PayPeriod 9 - 04/07/2024
4695542,sub,COGS,Folks,MT,Casper,CA310,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/12/2024,2.2,04/12/2024 10:48,04/12/2024 13:00,MT - PayPeriod 9 - 04/07/2024
4695543,sub,COGS,Folks,MT,Casper,CA310,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/12/2024,1.5,04/12/2024 14:00,04/12/2024 15:30,MT - PayPeriod 9 - 04/07/2024
4695544,sub,COGS,Folks,MT,Casper,CA309,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/12/2024,1.25,04/12/2024 15:30,04/12/2024 16:45,MT - PayPeriod 9 - 04/07/2024
4695545,sub,COGS,Folks,MT,Casper,CA309,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/12/2024,1.25,04/12/2024 16:45,04/12/2024 18:00,MT - PayPeriod 9 - 04/07/2024
4695549,sub,COGS,Folks,MT,ProjectK,PRK101,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/10/2024,4,04/10/2024 08:30,04/10/2024 12:30,MT - PayPeriod 9 - 04/07/2024
